 Applicazione                                      | Esempi di utilizzo                                           
 Sterilizzazione di attrezzature per la lavorazione del pesce | Coltelli, taglieri, forbici                            
 Decontaminazione di tavoli da lavoro e superfici di taglio | Piani di lavoro, tavoli da taglio, tavoli di pulizia  
 Pulizia e disinfezione di macchinari per la trasformazione del pesce | Affettatrici, macchine per il filettamento, macchine per il confezionamento 
 Sterilizzazione di recipienti e contenitori per il pesce | Contenitori per il trasporto del pesce, secchielli di stoccaggio, scatole di plastica 
 Sanitizzazione di impianti di confezionamento del pesce | Nastri trasportatori, macchine per la confezione sottovuoto, sistemi di etichettatura 
 Decontaminazione di superfici di stoccaggio del pesce | Ripiani di magazzino, scaffali di stoccaggio, celle frigorifere 
 Sterilizzazione di aree di preparazione del pesce | Zone di filettatura del pesce, aree di pulizia, aree di sventramento 
 Pulizia di superfici di lavorazione del pesce in pescherie | Banchi frigoriferi, espositori, lavelli 
 Disinfezione di attrezzature per la produzione di alimenti ittici | Forni, pentole, macchine per la cottura a vapore 
 Sanificazione di superfici nelle aree di vendita al dettaglio del pesce | Banconi di vendita, vetrine frigorifere, aree di esposizione del pesce 
