application_id\application_name\mold_id\mold_name
0\case\0\aspergillus fumigatus
0\case\1\penicillium chrysogenum
0\case\2\cladosporium herbarum
0\case\3\alternaria alternata
0\case\4\eurotium amstelodami
0\case\5\chaetomium globosum
0\case\6\stachybotrys chartarum
0\case\7\fusarium solani
0\case\8\trichoderma viride
0\case\9\ulocladium atrum
81\Industria Della Lavorazione Carni\10\penicillium expansum
81\Industria Della Lavorazione Carni\11\aspergillus niger
81\Industria Della Lavorazione Carni\1\penicillium chrysogenum
81\Industria Della Lavorazione Carni\2\cladosporium herbarum
81\Industria Della Lavorazione Carni\12\aspergillus flavus
81\Industria Della Lavorazione Carni\13\penicillium citrinum
81\Industria Della Lavorazione Carni\14\mucor circinelloides
81\Industria Della Lavorazione Carni\15\rhizopus oryzae
81\Industria Della Lavorazione Carni\16\penicillium glaucum
81\Industria Della Lavorazione Carni\4\eurotium amstelodami
