Caseificio Sociale Canevaccia Soc.Coop A Rl\6, Via Canevaccia, Castel D'aiano, BO 40034\https://www.caseificiocanevaccia.eu/it/\051 914173\info@caseificiocanevaccia.it\40034\
Caseificio Sociale Fior Di Latte-Societa Cooperativa A R.L.\33 Galleria I Maggio, Vergato, BO 40038, 40038 Vergato BO\https://caseificiofiordilatte.it/\051 910433\info@caseificiofiordilatte.it\BO\
Caseificio S. Pietro in RioTorto\Via Giardini Sud, 2451, 41028 Serramazzoni MO\\0536 954706\\MO\
Caseificio Bazzanese\Via Castello, 573, 40050 Castello di Serravalle BO\http://www.caseificiobazzanese.com/\340 644 3947\latuaemail@email.it info@caseificiobazzanese.com\BO\
Caseificio Comellini\Via Flavio Gioia, 6, 40024 Castel San Pietro Terme BO\http://www.caseificiocomellini.com/\051 941376\\BO\
Caseificio Canevaccia\40041 Gaggio Montano BO\http://www.caseificiocanevaccia.it/\\info@caseificiocanevaccia.it\BO\
Olmi E Centomo Caseificio Anzola dell'Emilia\Via Emilia, 295, 40011 Anzola dell'Emilia BO\http://www.olmiecentomo.it/\051 733658\info@olmiecentomo.it\BO\
Caseificio Sociale Di Querciola Societa Cooperativa\Via Macchiarelle, 4, 40042 Lizzano in Belvedere BO\\0534 56064\\BO\
Caseificio Sociale Fior di Latte\Localit Torretta, 225, 40041 Gaggio Montano BO\https://caseificiofiordilatte.it/\0534 31126\info@caseificiofiordilatte.it\BO\
Caseificio Pieve Roffeno\Via Santa Lucia, 1719, 40034 Castel d'Aiano BO\https://www.caseificiopieveroffeno.com/\051 912701\pieveroffeno@libero.it\BO\
Caseificio Lama Grande\40036 Monzuno BO\\320 642 8308\\BO\
Caseificio Aziendale Podere Forca\Via Forca, 1256b, 40060 Valsamoggia BO\http://www.podereforca.it/\345 975 8812\info@podereforca.it Emailinfo@podereforca.it\BO\
Caseificio Sociale Lame (S.C.A) Zocca (MO)\Via Berzo, 240, 41059 Lame MO\\059 987235\\MO\
Caseificio Sociale Roncoscaglia Societa' Agricola Cooperativa\Via Statale per Roncoscaglia, 78, 41029 Roncoscaglia MO\http://www.roncoscaglia.it/\0536 62099\contatti@roncoscaglia.it\MO\
4 Madonne Caseificio dell'Emilia\Via Stazione, 472, 40037 Sasso Marconi BO\https://www.caseificio4madonne.it/\051 670 6245\\BO\
Fattoria San Rocco\Via Stiore, 5, 40050 Monteveglio BO\https://www.fattoriasanrocco.it/\\\BO\
Azienda Agricola San Giuseppe\Mogne La Ca', 40032, Camugnano BO\\320 906 8130\\BO\
Societ Agricola Appennino s.s.\Unnamed Road, 40032, Camugnano BO\\333 326 4626\\BO\
Az Agricola Bergonzoni\Via Severino Ferrari, 30, 40062 San Pietro Capofiume BO\https://www.facebook.com/AziendaAgricolaBergonzoni/\335 812 6573\\BO\
Caseificio Guerrini\Via V. Pescerelli, 34, 40018 San Pietro In Casale BO\\051 666 1133\\BO\
Caseificio Le Delizie Bufala & passione\Via G. Matteotti, 8, 40055 Villanova BO\http://www.caseificiobufalaepassione.it/\051 781674\cas.ledelizie@gmail.com\BO\
Panificio Pasticceria Spanazzi\Via Roma, 131, 40052 Baricella BO\https://www.panificiopasticceriaspanazzi.it/\051 879523\spanazzi@libero.it\BO\
Bufala & Passione - Caseificio Le Delizie\Via Toscana, 412a, 40141 Bologna BO\https://www.instagram.com/caseificio.ledelizie/?hl=en\051 659 2918\\BO\
Caseificio Sant Angelo Di Caretti Dante E C. Snc\Via Imbiani, 7, 40017 San Giovanni in Persiceto BO\\051 824811\\BO\
Caseificio 2000 di Pasquesi Elia\di, Via Valgrande, 35040 Carmignano PD\\0429 693041\\PD\
Azienda Agricola e Caseificio Gabriella Guidi\Via Venenta, 52, 40050 Argelato BO\\349 355 4767\\BO\
Casali\Via Bazzane, 43, 40012 Calderara di Reno BO\https://www.casalilatticini.it/\051 723965\\BO\
Caseificio Sociale Castellazzo\V. Don Primo Mazzolari, 12, 42012 Campagnola Emilia RE\http://www.parmigianoreggianocastellazzo.it/\0522 652862\\RE\
Caseificio Rizzoli\Via Niccol Machiavelli, 14, 40127 Bologna BO\https://www.mozzarellarizzoli.it/\051 510154\\BO\
Caseificio Marozzo\44025 Fiscaglia FE\\\\FE\
Campagnola S.r.l.\Via Papa Giovanni XXIII, 14, 40053 Crespellano BO\\051 969020\\BO\
Casearia Di Sant'Anna\Via Sparate, 1, 40011 Anzola dell'Emilia BO\http://www.biosantanna.com/\051 739659\\BO\
Caseificio Sociale Cooperativo S.Elisabetta(Soc. Coop.R.L.)\8 Via Bergamino, Madregolo, PR 43044\\0521 806083\\43044\
Fattoria Lama Grande\Via Castello, 24, 40037 Sasso Marconi BO\https://www.facebook.com/fattorialama/\349 773 2576\\BO\
Caseificio Sociale Della Croce Societa' Agricola Cooperativa\Via Benedello, 3, 41026 Pavullo nel Frignano MO\http://www.caseificiditalia.it/caseifici/scheda/modena-pavullo-nel-frignano/caseificio-sociale-della-croce-societa--agricola-cooperativa/944\0536 22242\\MO\
Caseificio - Parmigiano Reggiano - Societ Agricola Saliceto\Via Toscanini, 3, 43037 Mulazzano Ponte PR\https://www.parmigianoreggianosaliceto.it/?utm_source=gmb&utm_medium=organic&utm_campaign=website-button\0521 857193\\PR\
Azienda Agricola Argazzi\Rotonda Segnatello, 21, 40010 Bentivoglio BO\\349 195 9155\\BO\
Morisi Carlo\Via Saliceto, 40010 Bentivoglio BO\https://facebook.com/Morisifarm\051 891259\\BO\
Caseificio Valsamoggia\Via di Vagno Giuseppe, 1 40053, 40053 Valsamoggia BO\https://caseificiovalsamoggia.it/\051 960334\info@valsamoggia.com\BO\
Caseificio L'Oro di Bufala di Smaldone Luciano\Via dei Carrettieri, 15, 41013 Castelfranco Emilia MO\\389 654 3788\\MO\
Caseificio Oratorio San Giorgio Societa Agricola Cooperativa\Via delle Nazioni Unite, 16, 41012 Carpi MO\http://www.caseificiosangiorgio.it/\059 664029\info@caseificiosangiorgio.it\MO\
Caseificio LOro di Bufala\Via dei Carrettieri, 15, 41013 Castelfranco Emilia MO\https://caseificiolorodibufala.com/\059 872 7167\webmaster@localweb.it\MO\
R.M. Formaggi Di Massaro Raffaele\Via Palazzetti, 22, 40068 San Lazzaro di Savena BO\\051 625 6155\\BO\
Caseificio San Simone S.R.L\Via Federico Garcia Lorca, 18, 42122 Reggio Emilia RE\http://www.caseificiosansimone.com/\0522 340129\caseificiosansimone@legalmail.it info@caseificiosansimone.com\RE\Sponsorizzato
Pratichiera Azienda Agricola e Caseificio\Via Provinciale per Busseto, 56A, 43010 Fontevivo PR\http://www.pratichiera.com/\0521 618116\commerciale@pratichiera.com info@pratichiera.com\PR\Sponsorizzato
Latteria Sociale S.Giorgio (Soc.Coop.R.L.)\Via Mulino di Cortogno, 20, 42034 Casina RE\https://www.parmigianoreggianosangiorgio.it/\339 570 5573\info@parmigianoreggianosangiorgio.it info@parmigianoreggianosangiorgio.it.\RE\
